#grid point	c_iterations	c_convergence   	P               	T(k)            	n_<tot> (cm-3)  	n_g (cm-3)      	m(u)            	C    	H    	He   	N    	O    	P    	S    	Si   	Ti   	V    	Cl   	K    	Na   	Mg   	F    
109       	72        	ok              	2.8780000000e-05	4.7120000000e+02	1.1471929362e+15	4.4238641782e+14	1.8541233470e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
110       	72        	ok              	2.4540000000e-05	4.7120000000e+02	9.7818296365e+14	3.7721204633e+14	1.8541229713e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
111       	72        	ok              	2.0930000000e-05	4.7120000000e+02	8.3428539364e+14	3.2172160268e+14	1.8541226329e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
112       	72        	ok              	1.7850000000e-05	4.7120000000e+02	7.1151410699e+14	2.7437795546e+14	1.8541223145e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
113       	72        	ok              	1.5220000000e-05	4.7120000000e+02	6.0668022928e+14	2.3395139956e+14	1.8541220294e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
114       	72        	ok              	1.2980000000e-05	4.7120000000e+02	5.1739209433e+14	1.9951965613e+14	1.8541217745e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
115       	72        	ok              	1.1070000000e-05	4.7120000000e+02	4.4125804132e+14	1.7016044633e+14	1.8541215462e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
116       	72        	ok              	9.4370000000e-06	4.7120000000e+02	3.7616543919e+14	1.4505909051e+14	1.8541213410e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
117       	71        	ok              	8.0470000000e-06	4.7120000000e+02	3.2076006724e+14	1.2369296401e+14	1.8541250319e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
118       	71        	ok              	6.8620000000e-06	4.7120000000e+02	2.7352485955e+14	1.0547795688e+14	1.8541244760e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
119       	71        	ok              	5.8520000000e-06	4.7120000000e+02	2.3326534574e+14	8.9952929711e+13	1.8541239778e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
120       	71        	ok              	4.9900000000e-06	4.7120000000e+02	1.9890526914e+14	7.6702857016e+13	1.8541235314e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
121       	71        	ok              	4.2550000000e-06	4.7120000000e+02	1.6960754176e+14	6.5404941203e+13	1.8541231313e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
122       	71        	ok              	3.6290000000e-06	4.7120000000e+02	1.4465466103e+14	5.5782498620e+13	1.8541227740e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
123       	71        	ok              	3.0940000000e-06	4.7120000000e+02	1.2332912485e+14	4.7558845613e+13	1.8541224386e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
124       	71        	ok              	2.6390000000e-06	4.7120000000e+02	1.0519246182e+14	4.0564897729e+13	1.8541221354e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
125       	71        	ok              	2.2500000000e-06	4.7120000000e+02	8.9686617930e+13	3.4585456570e+13	1.8541218643e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
126       	71        	ok              	1.9190000000e-06	4.7120000000e+02	7.6492704285e+13	2.9497551626e+13	1.8541216231e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
127       	71        	ok              	1.6360000000e-06	4.7120000000e+02	6.5212111186e+13	2.5147469755e+13	1.8541214076e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
128       	70        	ok              	1.3950000000e-06	4.7120000000e+02	5.5605861679e+13	2.1442983074e+13	1.8541252301e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
129       	70        	ok              	1.1900000000e-06	4.7120000000e+02	4.7434367832e+13	1.8291863697e+13	1.8541246544e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
130       	70        	ok              	1.0150000000e-06	4.7120000000e+02	4.0458707902e+13	1.5601883742e+13	1.8541241409e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
131       	70        	ok              	8.6520000000e-07	4.7120000000e+02	3.4487547224e+13	1.3299260900e+13	1.8541236808e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
132       	70        	ok              	7.3780000000e-07	4.7120000000e+02	2.9409273592e+13	1.1340955492e+13	1.8541232712e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
133       	70        	ok              	6.2910000000e-07	4.7120000000e+02	2.5076400470e+13	9.6700936571e+12	1.8541229044e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
134       	70        	ok              	5.3650000000e-07	4.7120000000e+02	2.1385288553e+13	8.2467099778e+12	1.8541225689e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
135       	70        	ok              	4.5750000000e-07	4.7120000000e+02	1.8236285034e+13	7.0323761693e+12	1.8541222561e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
136       	70        	ok              	3.9010000000e-07	4.7120000000e+02	1.5549667981e+13	5.9963496036e+12	1.8541219757e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
137       	70        	ok              	3.3270000000e-07	4.7120000000e+02	1.3261659668e+13	5.1140361782e+12	1.8541217246e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
138       	70        	ok              	2.8370000000e-07	4.7120000000e+02	1.1308482506e+13	4.3608417907e+12	1.8541214992e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
139       	70        	ok              	2.4190000000e-07	4.7120000000e+02	9.6423033130e+12	3.7183208642e+12	1.8541212972e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
140       	69        	ok              	2.0630000000e-07	4.7120000000e+02	8.2232874558e+12	3.1711020847e+12	1.8541248943e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
141       	69        	ok              	1.7590000000e-07	4.7120000000e+02	7.0115152384e+12	2.7038141381e+12	1.8541243477e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
142       	69        	ok              	1.5000000000e-07	4.7120000000e+02	5.9791179686e+12	2.3056971047e+12	1.8541238594e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
143       	69        	ok              	1.2790000000e-07	4.7120000000e+02	5.0981927040e+12	1.9659910646e+12	1.8541234233e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
144       	69        	ok              	1.0910000000e-07	4.7120000000e+02	4.3488087632e+12	1.6770103608e+12	1.8541230345e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
145       	69        	ok              	9.3020000000e-08	4.7120000000e+02	3.7078466713e+12	1.4298396312e+12	1.8541226863e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
146       	69        	ok              	7.9320000000e-08	4.7120000000e+02	3.1617535563e+12	1.2192526290e+12	1.8541223566e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
147       	69        	ok              	6.7640000000e-08	4.7120000000e+02	2.6961794921e+12	1.0397156811e+12	1.8541220628e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
148       	69        	ok              	5.7680000000e-08	4.7120000000e+02	2.2991661532e+12	8.8661739333e+11	1.8541218009e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
149       	69        	ok              	4.9180000000e-08	4.7120000000e+02	1.9603496711e+12	7.5596122406e+11	1.8541215672e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
150       	69        	ok              	4.1940000000e-08	4.7120000000e+02	1.6717578427e+12	6.4467291047e+11	1.8541213590e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
151       	68        	ok              	3.5770000000e-08	4.7120000000e+02	1.4258218134e+12	5.4983190290e+11	1.8541250861e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
152       	68        	ok              	3.0500000000e-08	4.7120000000e+02	1.2157546729e+12	4.6882507796e+11	1.8541245254e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
153       	68        	ok              	2.6010000000e-08	4.7120000000e+02	1.0367792009e+12	3.9980787795e+11	1.8541240246e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
154       	68        	ok              	2.2180000000e-08	4.7120000000e+02	8.8411203196e+11	3.4093574521e+11	1.8541235768e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
155       	68        	ok              	1.8910000000e-08	4.7120000000e+02	7.5376703494e+11	2.9067154833e+11	1.8541231752e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
156       	68        	ok              	1.6130000000e-08	4.7120000000e+02	6.4295391750e+11	2.4793929533e+11	1.8541228166e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
157       	68        	ok              	1.3750000000e-08	4.7120000000e+02	5.4808517392e+11	2.1135556793e+11	1.8541224814e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
158       	68        	ok              	1.1730000000e-08	4.7120000000e+02	4.6756635812e+11	1.8030551359e+11	1.8541221755e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
159       	68        	ok              	1.0000000000e-08	4.7120000000e+02	3.9860720303e+11	1.5371314031e+11	1.8541219005e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
